hour,tout,thermal_type,schedule_type,daytype
0,27,0,1,0
1,27,0,1,0
2,27,0,1,0
3,27,0,1,0
4,26,0,1,0
5,26,0,1,0
6,26,0,1,0
7,26,0,1,0
8,28,0,1,0
9,28,0,1,0
10,30,0,1,0
11,31,0,1,0
12,32,0,1,0
13,32,0,1,0
14,33,0,1,0
15,32,0,1,0
16,33,0,1,0
17,33,0,1,0
18,32,0,1,0
19,31,0,1,0
20,31,0,1,0
21,29,0,1,0
22,29,0,1,0
23,29,0,1,0
